1,1014,0.9702989999999999,-20.0,0,-20.0
2,816,0.96059601,-21.0,0,-20.5
3,1048,0.9414801494009999,-21.0,0,-20.666666666666668
4,1120,0.9135172474836407,-19.0,0,-20.25
5,845,0.9043820750088043,-21.0,0,-20.4
6,836,0.8863848717161291,-20.0,0,-20.333333333333332
7,815,0.8687458127689781,-21.0,0,-20.428571428571427
8,1206,0.8514577710948754,-19.0,0,-20.25
9,816,0.8345137614500874,-21.0,0,-20.333333333333332
10,1198,0.8179069375972307,-19.0,0,-20.2
123,2708,0.04953625663766238,6.0,tensor(19.6720, device='cuda:0', grad_fn=<AddBackward0>),-12.79
124,2827,0.04953625663766238,3.0,tensor(19.3762, device='cuda:0', grad_fn=<AddBackward0>),-12.59
125,3155,0.04953625663766238,-1.0,tensor(21.0095, device='cuda:0', grad_fn=<AddBackward0>),-12.42
126,2227,0.04953625663766238,15.0,tensor(16.2832, device='cuda:0', grad_fn=<AddBackward0>),-12.08
127,2549,0.04953625663766238,8.0,tensor(17.1997, device='cuda:0', grad_fn=<AddBackward0>),-11.81
128,2677,0.04953625663766238,6.0,tensor(17.9296, device='cuda:0', grad_fn=<AddBackward0>),-11.56
129,2816,0.04953625663766238,5.0,tensor(18.5408, device='cuda:0', grad_fn=<AddBackward0>),-11.34
130,2754,0.04953625663766238,8.0,tensor(18.2156, device='cuda:0', grad_fn=<AddBackward0>),-11.07
131,2161,0.04953625663766238,13.0,tensor(14.8402, device='cuda:0', grad_fn=<AddBackward0>),-10.74
132,2461,0.04953625663766238,11.0,tensor(15.9466, device='cuda:0', grad_fn=<AddBackward0>),-10.46
133,2157,0.04953625663766238,15.0,tensor(14.7660, device='cuda:0', grad_fn=<AddBackward0>),-10.12
134,2054,0.04953625663766238,15.0,tensor(13.0016, device='cuda:0', grad_fn=<AddBackward0>),-9.78
135,2323,0.04953625663766238,12.0,tensor(14.1271, device='cuda:0', grad_fn=<AddBackward0>),-9.46
136,1971,0.04953625663766238,13.0,tensor(11.1526, device='cuda:0', grad_fn=<AddBackward0>),-9.16
137,2863,0.04953625663766238,8.0,tensor(15.7450, device='cuda:0', grad_fn=<AddBackward0>),-8.9
138,1991,0.04953625663766238,18.0,tensor(11.7025, device='cuda:0', grad_fn=<AddBackward0>),-8.52
139,2604,0.04953625663766238,-1.0,tensor(13.4966, device='cuda:0', grad_fn=<AddBackward0>),-8.37
140,2677,0.04953625663766238,-5.0,tensor(15.3785, device='cuda:0', grad_fn=<AddBackward0>),-8.23
141,1991,0.04953625663766238,-8.0,tensor(12.2353, device='cuda:0', grad_fn=<AddBackward0>),-8.14
142,3344,0.04953625663766238,3.0,tensor(17.4959, device='cuda:0', grad_fn=<AddBackward0>),-7.93
143,2142,0.04953625663766238,15.0,tensor(11.7671, device='cuda:0', grad_fn=<AddBackward0>),-7.64
144,2622,0.04953625663766238,9.0,tensor(13.2679, device='cuda:0', grad_fn=<AddBackward0>),-7.38
145,2563,0.04953625663766238,8.0,tensor(13.2511, device='cuda:0', grad_fn=<AddBackward0>),-7.11
146,2418,0.04953625663766238,11.0,tensor(11.8122, device='cuda:0', grad_fn=<AddBackward0>),-6.82
147,1985,0.04953625663766238,15.0,tensor(10.4748, device='cuda:0', grad_fn=<AddBackward0>),-6.5
148,2791,0.04953625663766238,6.0,tensor(13.2824, device='cuda:0', grad_fn=<AddBackward0>),-6.29
149,2439,0.04953625663766238,12.0,tensor(12.2664, device='cuda:0', grad_fn=<AddBackward0>),-6.03
150,1974,0.04953625663766238,17.0,tensor(10.7320, device='cuda:0', grad_fn=<AddBackward0>),-5.67
151,2327,0.04953625663766238,9.0,tensor(11.9046, device='cuda:0', grad_fn=<AddBackward0>),-5.41
152,2083,0.04953625663766238,14.0,tensor(10.6260, device='cuda:0', grad_fn=<AddBackward0>),-5.13
153,2310,0.04953625663766238,15.0,tensor(11.1264, device='cuda:0', grad_fn=<AddBackward0>),-4.82
154,3025,0.04953625663766238,3.0,tensor(14.2331, device='cuda:0', grad_fn=<AddBackward0>),-4.59
155,2378,0.04953625663766238,9.0,tensor(11.3263, device='cuda:0', grad_fn=<AddBackward0>),-4.34
156,1826,0.04953625663766238,18.0,tensor(8.4665, device='cuda:0', grad_fn=<AddBackward0>),-4.02
157,2537,0.04953625663766238,-3.0,tensor(10.8305, device='cuda:0', grad_fn=<AddBackward0>),-3.88
158,2577,0.04953625663766238,6.0,tensor(12.4358, device='cuda:0', grad_fn=<AddBackward0>),-3.69
159,2312,0.04953625663766238,11.0,tensor(10.4935, device='cuda:0', grad_fn=<AddBackward0>),-3.44
160,2185,0.04953625663766238,15.0,tensor(9.9883, device='cuda:0', grad_fn=<AddBackward0>),-3.16
161,2251,0.04953625663766238,11.0,tensor(9.3812, device='cuda:0', grad_fn=<AddBackward0>),-2.91
